brand,product_name,original_price,discounted_price,rating,product_url,breadcrumbs,category
VRBUDDIES,Bullet Lipstick 5ml,Rs. 599,Rs. 325,N/A,https://www.myntra.comlipstick/vrbuddies/vrbuddies-long-lasting-matte-bullet-lipstick---5--g---brown-06/41599235/buy,Home / Personal Care / Lipstick,Lipstick
RED 4,Lips Cover Liquid Lipstick 4ml,Rs. 225,Rs. 167,|207,https://www.myntra.comlipstick/red+4/red-4-lips-cover-water-proof--long-lasting-liquid-lipstick-4ml-130/36571465/buy,Home / Personal Care / Lipstick,Lipstick
SWISS BEAUTY,Gel Lipstick - 3,N/A,N/A,|2.4k,https://www.myntra.comlipstick/swiss+beauty/swiss-beauty-gel-lipstick---3/16866300/buy,Home / Personal Care / Lipstick,Lipstick
VRBUDDIES,Long Lasting Bullet Lipstick,Rs. 599,Rs. 325,N/A,https://www.myntra.comlipstick/vrbuddies/vrbuddies-long-lasting-matte-bullet-lipstick---5--g---red-01/41599230/buy,Home / Personal Care / Lipstick,Lipstick
VOZO,4-Pc Lipsticks-101-105-106-204,Rs. 996,Rs. 175,|30,https://www.myntra.comlipstick/vozo/vozo-set-of-4-soft--comfortable-matte-finish-liquid-lipsticks-101-105-106-204/30544478/buy,Home / Personal Care / Lipstick,Lipstick
VOZO,4-Pc Lipsticks-101-202-203-204,Rs. 996,Rs. 175,|25,https://www.myntra.comlipstick/vozo/vozo-set-of-4-soft--comfortable-matte-finish-liquid-lipsticks-101-202-203-204/30544515/buy,Home / Personal Care / Lipstick,Lipstick
PALSON,Matte Bullet Lipstick - 5 g,Rs. 599,Rs. 325,N/A,https://www.myntra.comlipstick/palson/palson-long-lasting-matte-bullet-lipstick---5--g---red-01/41599194/buy,Home / Personal Care / Lipstick,Lipstick
Hilary Rhoda,Waterproof Liquid Lipstick-5ml,Rs. 269,Rs. 221,N/A,https://www.myntra.comlipstick/hilary+rhoda/hilary-rhoda-touch-of-mousse-waterproof-liquid-lipstick--mullberry-wine---shade-17--5-ml/41047789/buy,Home / Personal Care / Lipstick,Lipstick
VOZO,4-Pc Lipsticks-101-103-104-106,Rs. 996,Rs. 175,|15,https://www.myntra.comlipstick/vozo/vozo-set-of-4-soft--comfortable-matte-finish-liquid-lipsticks-101-103-104-106/30544508/buy,Home / Personal Care / Lipstick,Lipstick
PALSON,Matte Bullet Lipstick - 5 g,Rs. 599,Rs. 325,N/A,https://www.myntra.comlipstick/palson/palson-long-lasting-matte-bullet-lipstick---5-g---brown-06/41599192/buy,Home / Personal Care / Lipstick,Lipstick
VOZO,4-Pc Lipsticks-101-102-103-201,Rs. 996,Rs. 175,|5,https://www.myntra.comlipstick/vozo/vozo-set-of-4-matte-finish-liquid-lipsticks-101-102-103-201/30544493/buy,Home / Personal Care / Lipstick,Lipstick
